사업장명,영업상태명,지번주소,도로명주소,위도,경도,행정동명
씨유 당곡역점,영업/정상,서울특별시 관악구 봉천동 971-15,"서울특별시 관악구 봉천로 241, 1층 (봉천동)",37.4894913927344,126.928598550656,보라매동
지에스한가온(주) 서울대관악사지점,영업/정상,서울특별시 관악구 봉천동 산 4-2 900동,"서울특별시 관악구 관악로 1, 서울대학교 900동 지하2층 (신림동)",37.4662872666604,126.94815644252,대학동
GS25 신림동산점,영업/정상,서울특별시 관악구 신림동 1632-1,"서울특별시 관악구 문성로32길 13, 1층 (신림동)",37.4786345922506,126.928880897838,신원동
씨유 관악해오름점,영업/정상,서울특별시 관악구 신림동 1475-14 해오름홈,"서울특별시 관악구 난곡로57길 4-11, 해오름홈 1층 (신림동)",37.4802385967565,126.914387597958,미성동
씨유 서울대이편한세상점,영업/정상,서울특별시 관악구 봉천동 1730-1 e편한세상 서울대입구 2단지,"서울특별시 관악구 청룡16길 43, 지1층 102호,103호 (봉천동, e편한세상 서울대입구 2단지)",37.4766334506936,126.943195705239,청룡동
씨유 뉴관악플러스점,영업/정상,서울특별시 관악구 신림동 744-4,"서울특별시 관악구 미성8길 1, 1층 (신림동)",37.4742582987926,126.913482326055,미성동
(주)코리아세븐 신림낭만거리점,영업/정상,서울특별시 관악구 신림동 1536-18,"서울특별시 관악구 신림로17길 34, 1층 (신림동)",37.4692569926628,126.936344647512,대학동
씨유 관악프렌즈점,영업/정상,"서울특별시 관악구 봉천동 41-839 1층, 101호, 102호","서울특별시 관악구 은천로 153, 1층 101호, 102호 (봉천동)",37.4864510631326,126.952468877982,성현동
지에스(GS)25 서울대이편한점,영업/정상,서울특별시 관악구 봉천동 1539-12 1층,"서울특별시 관악구 참숯1길 10, 1층 (봉천동)",37.478968692546,126.941910165105,청룡동
지에스(GS)25 관악이편한점,영업/정상,서울특별시 관악구 신림동 95-53,"서울특별시 관악구 참숯5길 12, 1층 (신림동)",37.477064914058,126.940391048487,서림동
지에스(GS)25 봉천현대,영업/정상,서울특별시 관악구 봉천동 148-129 관악미래가아파트,"서울특별시 관악구 솔밭로 24, 지1층 비01호 (봉천동, 관악미래가아파트)",37.4793670934135,126.963735349774,행운동
GS25 신대방역점,영업/정상,,서울특별시 관악구 신사로 86 (신림동),37.4862133043301,126.912462002862,조원동
지에스25 당곡역,영업/정상,서울특별시 관악구 신림동 1429-1,"서울특별시 관악구 신림로 391, 1층 (신림동)",37.4890676251072,126.927818071076,신림동
지에스25 당곡스타점,영업/정상,서울특별시 관악구 신림동 1416-32,"서울특별시 관악구 봉천로 272, 1층 2호 (신림동)",37.4876815118175,126.931133742713,신림동
GS25 봉천아이원점,영업/정상,서울특별시 관악구 봉천동 1575-3,"서울특별시 관악구 청룡9길 1, 1층 (봉천동)",37.4788920252156,126.945914166085,청룡동
지에스(GS)25관악인헌점,영업/정상,서울특별시 관악구 봉천동 207-21,"서울특별시 관악구 낙성대역길 31, 1층 (봉천동)",37.4761178149781,126.961556680848,낙성대동
지에스25 은천삼성,영업/정상,서울특별시 관악구 봉천동 941-4,"서울특별시 관악구 은천로 42, 1층 (봉천동)",37.4859939110675,126.940034120946,은천동
CVS25시,영업/정상,서울특별시 관악구 신림동 725번지 33호,서울특별시 관악구 난곡로 203 (신림동),37.4730965705873,126.918471728046,난곡동
씨유관악레드점,영업/정상,서울특별시 관악구 봉천동 851-10,"서울특별시 관악구 봉천로53길 11, 1층 101호 (봉천동)",37.4824140258053,126.954117521099,행운동
